"time","singleChiller.singleChiller.mov.P","singleChiller.singleChiller.chillerWithHex2_1.chi.P","singleChiller.singleChiller.mov1.P","supplyTemp","returnTemp","storageTankWithPump.mov.P","total_power","total_energy"
2370,63369.520287783,0.0005756300172507391,63534.9627503454,293.1487554327377,293.1483395335928,64066.82386098196,190971.3074747404,473022634.5596641
2400,63369.520287783,0.000575618031193373,63534.9627503454,293.1489480364472,293.1485394175579,64066.82386098196,190971.3074747284,478751773.7839062
2430,63369.520287783,0.0005756037088244959,63534.9627503454,293.1491781531229,293.1487087302066,64066.82386098196,190971.3074747141,484480913.0081478
2460,63369.52028778298,0.000575587632387527,63534.9627503454,293.1494364313921,293.1488486885348,64066.82386098196,190971.307474698,490210052.232389
2490,63369.52028778298,0.0005755819711911676,63534.9627503454,293.1495274270227,293.1490368474478,64066.82386098196,190971.3074746923,495939191.4566298
2520,63369.52028778298,0.0005755771546785839,63534.9627503454,293.14960484454,293.149207536118,64066.82386098196,190971.3074746875,501668330.6808705
2550,63369.52028778298,0.0005755733215857283,63534.9627503454,293.1496664547781,293.1493590499117,64066.82386098196,190971.3074746837,507397469.9051111
2580,63369.520287783,0.0005755706106487382,63534.9627503454,293.1497100285715,293.1494896841953,64066.82386098196,190971.307474681,513126609.1293516
2610,63369.520287783,0.0005755691606044702,63534.9627503454,293.1497333367545,293.1495977343353,64066.82386098196,190971.3074746795,518855748.353592
2640,63369.520287783,0.0005755691101910921,63534.9627503454,293.1497341501615,293.149681495698,64066.82386098196,190971.3074746795,524584887.5778323
2670,63369.520287783,0.0005755705981487633,63534.9627503454,293.1497102396268,293.1497392636497,64066.82386098196,190971.307474681,530314026.8020728
2700,63369.520287783,0.0005755737632203515,63534.9627503454,293.1496593759846,293.1497693335568,64066.82386098196,190971.3074746841,536043166.0263132
2730,63369.520287783,0.0005755787441522548,63534.9627503454,293.1495793300694,293.1497700007858,64066.82386098196,190971.3074746891,541772305.2505538
2760,63369.520287783,0.0005755856796952772,63534.9627503454,293.1494678727155,293.1497395607031,64066.82386098196,190971.307474696,547501444.4747946
2790,63369.520287783,0.0005755900360585638,63534.9627503454,293.1493978613809,293.1497279546618,64066.82386098196,190971.3074747004,553230583.6990355
2820,63369.520287783,0.000575590285213134,63534.9627503454,293.1493938512841,293.1497519008296,64066.82386098196,190971.3074747006,558959722.9232765
2850,63369.520287783,0.0005755901579161488,63534.9627503454,293.1493958903862,293.1497699916991,64066.82386098196,190971.3074747005,564688862.1475176
2880,63369.520287783,0.0005755895651762648,63534.9627503454,293.149405409129,293.1497830397833,64066.82386098196,190971.3074746999,570418001.3717586
2910,63369.520287783,0.0005755884180024187,63534.9627503454,293.1494238379544,293.1497918575951,64066.82386098196,190971.3074746988,576147140.5959996
2940,63369.520287783,0.0005755866274039867,63534.9627503454,293.1494526073042,293.1497972576476,64066.82386098196,190971.307474697,581876279.8202405
2970,63369.520287783,0.0005755841043909981,63534.9627503454,293.1494931476203,293.1498000524538,64066.82386098196,190971.3074746945,587605419.0444814
